
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.553
Model:,OLS,  Adj. R-squared (uncentered):,   0.445
Method:,Least Squares,  F-statistic:       ,   5.117
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:36:22,  Log-Likelihood:    ,-1.3234e+05
No. Observations:,  7079,  AIC:               ,2.674e+05
Df Residuals:,  5702,  BIC:               ,2.769e+05
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_AGRO INDUSTRIAL LAZZERI LTDA,-7.928e+06, 3.64e+07,   -0.218, 0.828,-7.93e+07, 6.34e+07
Cliente_AGRO LATINA LTDA,-1.891e+06, 3.32e+07,   -0.057, 0.955, -6.7e+07, 6.32e+07
Cliente_AGROBRAS AGRICOLA TROPICAL BRASIL,-2.579e+07, 5.19e+07,   -0.497, 0.619,-1.27e+08, 7.59e+07
"Cliente_AGROFRUTAS - PRODUCAO, EXPORTACAO E IMPORTACAO LTDA",-2.526e+07, 4.79e+07,   -0.527, 0.598,-1.19e+08, 6.87e+07
Cliente_AGRONOL AGRO INDUSTRIAL S/A, -2.17e+07, 4.69e+07,   -0.463, 0.643,-1.14e+08, 7.02e+07
Cliente_AGROPECUARIA MAGGI LTDA,-3.068e+07, 4.07e+07,   -0.753, 0.452,-1.11e+08, 4.92e+07
Cliente_AGROPECUARIA SCHIO LTDA, 6.013e+05,  3.4e+07,    0.018, 0.986,-6.61e+07, 6.73e+07
Cliente_AGROPEL AGROINDUSTRIAL PERAZZOLI LTDA,-1.369e+07, 3.23e+07,   -0.424, 0.672, -7.7e+07, 4.97e+07
Cliente_AGROSPE - AGRO INDUSTRIAL SAO PEDRO DE VACARIA LTDA,-9.435e+06, 3.67e+07,   -0.257, 0.797,-8.14e+07, 6.25e+07
Cliente_AGUIA SISTEMAS DE ARMAZENAGEM LTDA,-7.555e+06, 3.39e+07,   -0.223, 0.824, -7.4e+07, 5.89e+07
Cliente_AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,-1.411e+07,  3.1e+07,   -0.455, 0.649,-7.48e+07, 4.66e+07
Cliente_AJINOMOTO INTERAMERICANA INDUSTRIA E COMERCIO LTDA,-1.406e+07, 3.06e+07,   -0.459, 0.646,-7.41e+07,  4.6e+07
Cliente_AKEO INDUSTRIAL LTDA,-7.158e+06, 4.64e+07,   -0.154, 0.877, -9.8e+07, 8.37e+07
Cliente_AKER SOLUTIONS DO BRASIL LTDA, 7.673e+07, 3.34e+07,    2.299, 0.022, 1.13e+07, 1.42e+08
Cliente_ALBRECHT EQUIPAMENTOS INDUSTRIAIS LTDA,-1.572e+07, 3.42e+07,   -0.460, 0.645,-8.27e+07, 5.13e+07
Cliente_ALCOA ALUMINIO S/A, 4.773e+07,  4.7e+07,    1.015, 0.310,-4.44e+07,  1.4e+08
"Cliente_ALIBEM ALIMENTOS S,A,", 1.155e+06, 3.63e+07,    0.032, 0.975,   -7e+07, 7.23e+07
Cliente_ALIBRA INGREDIENTES LTDA,-2.555e+07, 4.61e+07,   -0.554, 0.579,-1.16e+08, 6.48e+07
Cliente_ALISUL ALIMENTOS SA,-5.576e+06, 4.66e+07,   -0.120, 0.905,-9.69e+07, 8.58e+07
Cliente_ALKA 3 INDUSTRIA DE AUTOPECAS LTDA,-2.472e+07, 3.87e+07,   -0.639, 0.523,-1.01e+08, 5.11e+07
Cliente_ALLBRANDS INDUSTRIA DE ALIMENTOS S/A,-9.495e+06, 4.77e+07,   -0.199, 0.842,-1.03e+08,  8.4e+07
Cliente_ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA,-1.543e+07, 3.18e+07,   -0.486, 0.627,-7.77e+07, 4.68e+07
Cliente_ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA, 4.128e+06, 4.68e+07,    0.088, 0.930,-8.75e+07, 9.58e+07
Cliente_ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,-9.281e+06, 3.77e+07,   -0.246, 0.805,-8.31e+07, 6.45e+07
"Cliente_ALPARGATAS S,A,", 1.758e+07, 3.13e+07,    0.561, 0.575,-4.38e+07,  7.9e+07
Cliente_ALPEX ALUMINIO LTDA,-2.076e+07, 4.61e+07,   -0.450, 0.653,-1.11e+08, 6.97e+07
Cliente_ALPINO INDUSTRIA METALURGICA LTDA,-1.491e+07, 3.87e+07,   -0.386, 0.700,-9.07e+07, 6.09e+07
Cliente_ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA, 2.365e+07, 3.44e+07,    0.687, 0.492,-4.39e+07, 9.12e+07
Cliente_ALSTOM HYDRO ENERGIA BRASIL LTDA,-4.436e+06, 3.59e+07,   -0.124, 0.902,-7.48e+07, 6.59e+07
Cliente_ALTENBURG TEXTIL LTDA,-1.503e+07,  3.2e+07,   -0.470, 0.639,-7.78e+07, 4.77e+07
Cliente_ALUMINIUM INDUSTRIAL E COMERCIO LTDA,-1.606e+07, 3.58e+07,   -0.448, 0.654,-8.63e+07, 5.42e+07
Cliente_ALVOAR LACTEOS S/A, -2.07e+07, 3.95e+07,   -0.524, 0.600,-9.82e+07, 5.67e+07
Cliente_AMAPA DO SUL SA INDUSTRIA DA BORRACHA, -2.17e+06, 4.63e+07,   -0.047, 0.963,-9.29e+07, 8.85e+07
"Cliente_AMBEV S,A,",-1.753e+07, 3.87e+07,   -0.453, 0.651,-9.35e+07, 5.84e+07
Cliente_AMENDOAS DO BRASIL LTDA,-4.623e+06, 3.74e+07,   -0.124, 0.902,-7.79e+07, 6.86e+07
Cliente_AMERICA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA, 2.346e+06, 4.62e+07,    0.051, 0.960,-8.83e+07,  9.3e+07
Cliente_AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A,-1.945e+06, 2.99e+07,   -0.065, 0.948,-6.06e+07, 5.67e+07
Cliente_ANDREAZZA MADEIRAS EIRELI,-1.161e+07, 4.87e+07,   -0.238, 0.812,-1.07e+08, 8.39e+07
"Cliente_ANDRITZ HYDRO LTDA,",-1.147e+07, 4.61e+07,   -0.249, 0.804,-1.02e+08,  7.9e+07
Cliente_ANGELO CAMILOTTI CIA LTDA,-9.258e+06, 3.44e+07,   -0.269, 0.788,-7.66e+07, 5.81e+07
"Cliente_ANGLO AMERICAN OF SOUTH AMERICA LTDA,",-7.281e+05,  5.6e+07,   -0.013, 0.990, -1.1e+08, 1.09e+08
Cliente_ANHAMBI ALIMENTOS LTDA,-1.223e+07, 4.78e+07,   -0.256, 0.798,-1.06e+08, 8.14e+07
"Cliente_ANIGER - CALCADOS, SUPRIMENTOS E EMPREENDIMENTOS LTDA,",-1.535e+06, 3.64e+07,   -0.042, 0.966,-7.28e+07, 6.97e+07
Cliente_ANTIBIOTICOS DO BRASIL LTDA,-1.108e+07, 3.29e+07,   -0.337, 0.736,-7.56e+07, 5.34e+07
"Cliente_APERAM INOX AMERICA DO SUL S,A,",-1.522e+07, 3.23e+07,   -0.471, 0.637,-7.85e+07, 4.81e+07
Cliente_APOLO TUBULARS S/A, 3.681e+06, 4.61e+07,    0.080, 0.936,-8.68e+07, 9.41e+07
Cliente_APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,-1.015e+07, 3.63e+07,   -0.280, 0.780,-8.13e+07,  6.1e+07
Cliente_APUCARANA LEATHER S/A,-1.023e+07, 4.76e+07,   -0.215, 0.830,-1.04e+08, 8.31e+07
Cliente_AQUAGEL REFRIGERACAO LIMITADA,-1.877e+07, 4.61e+07,   -0.407, 0.684,-1.09e+08, 7.16e+07
Cliente_AQUATICA MARICULTURA DO BRASIL LTDA,-1.507e+07, 4.32e+07,   -0.349, 0.727,-9.97e+07, 6.96e+07
Cliente_AQUINOR AQUICULTURA DO NORDESTE LTDA, 4.303e+06, 2.32e+07,    0.185, 0.853,-4.12e+07, 4.98e+07
Cliente_ARAMOVEIS INDS REUNIDAS DE MOVEIS E ESTOFADOS LTDA,-9.953e+06, 4.06e+07,   -0.245, 0.806,-8.95e+07, 6.96e+07
Cliente_ARANTES ALIMENTOS LTDA,-1.357e+07, 3.21e+07,   -0.423, 0.672,-7.64e+07, 4.93e+07
"Cliente_ARAUCO DO BRASIL S,A,", -6.61e+06, 3.41e+07,   -0.194, 0.846,-7.34e+07, 6.02e+07
Cliente_ARAUPLAST INDUSTRIA DE PLASTICOS LTDA,-7.917e+06, 4.75e+07,   -0.167, 0.868,-1.01e+08, 8.52e+07
Cliente_ARCELOR BRASIL SA,-1.953e+07, 4.68e+07,   -0.417, 0.677,-1.11e+08, 7.23e+07
"Cliente_ARCELORMITTAL BRASIL S,A,", 2.132e+07, 3.56e+07,    0.599, 0.549,-4.84e+07, 9.11e+07
Cliente_ARCOR DO BRASIL LTDA,  1.13e+07, 4.61e+07,    0.245, 0.806,-7.91e+07, 1.02e+08
"Cliente_AREZZO INDUSTRIA E COMERCIO S,A,",-2.625e+06, 4.64e+07,   -0.057, 0.955,-9.37e+07, 8.84e+07
Cliente_ARIM COMPONENTES S/A, -9.28e+06, 3.58e+07,   -0.259, 0.796,-7.95e+07,  6.1e+07
Cliente_AROSUCO AROMAS E SUCOS LTDA,-1.086e+07, 4.59e+07,   -0.237, 0.813,-1.01e+08, 7.91e+07
Cliente_AROTUBI METAIS LTDA,-1.083e+07, 4.07e+07,   -0.266, 0.790,-9.05e+07, 6.89e+07
Cliente_ARTECOLA EXTRUSAO LTDA,-1.278e+07, 4.78e+07,   -0.267, 0.789,-1.06e+08, 8.09e+07
Cliente_ARTECOLA LAMINADOS ESPECIAIS LTDA,-2.484e+07, 4.61e+07,   -0.538, 0.590,-1.15e+08, 6.56e+07
"Cliente_ARTECOLA QUIMICA S,A,", -3.82e+06, 3.33e+07,   -0.115, 0.909,-6.92e+07, 6.15e+07
Cliente_ASA AGRICOLA SANTO ANTONIO SA,-2.527e+07, 3.61e+07,   -0.701, 0.484, -9.6e+07, 4.54e+07
"Cliente_ASGA S,A",-1.731e+07, 3.34e+07,   -0.518, 0.604,-8.28e+07, 4.82e+07
Cliente_ASTEC DO BRASIL FABRICACAO DE EQUIPAMENTOS LTDA,-2.059e+07, 4.68e+07,   -0.440, 0.660,-1.12e+08, 7.11e+07
Cliente_ATC - ASSOCIATED TOBACCO COMPANY BRASIL EXPORTACAO E IM,-1.406e+06, 3.67e+07,   -0.038, 0.969,-7.34e+07, 7.06e+07
Cliente_ATINA INDUSTRIA E COMERCIO DE ATIVOS NATURAIS LTDA,-2.509e+07, 4.04e+07,   -0.621, 0.535,-1.04e+08, 5.41e+07
Cliente_ATLANTICA EXPORTACAO E IMPORTACAO S/A,-2.788e+07, 4.72e+07,   -0.591, 0.555, -1.2e+08, 6.47e+07
Cliente_ATLAS COMPENSADOS INDUSTRIA E COMERCIO LTDA,-1.679e+07, 4.76e+07,   -0.353, 0.724, -1.1e+08, 7.64e+07
"Cliente_ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",-9.526e+06, 3.49e+07,   -0.273, 0.785,-7.79e+07, 5.89e+07
Cliente_AUDACES AUTOMACAO E INFORMATICA INDUSTRIAL LTDA,-1.463e+07, 3.48e+07,   -0.420, 0.675,-8.29e+07, 5.37e+07
"Cliente_AUNDE BRASIL S,A,",-2.034e+07, 4.61e+07,   -0.441, 0.659,-1.11e+08, 7.01e+07
"Cliente_AUTO ADESIVOS PARANA S,A",-6.702e+06, 4.75e+07,   -0.141, 0.888,-9.98e+07, 8.64e+07
Cliente_AUTOBOX INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA - ME,-1.762e+07, 4.77e+07,   -0.370, 0.712,-1.11e+08, 7.58e+07
Cliente_AUTOLIV DO BRASIL LTDA, 2.395e+07, 4.61e+07,    0.519, 0.604,-6.65e+07, 1.14e+08
"Cliente_AUTOMETAL MINAS CROMACAO, PINTURA E INJECAO DE PLASTICO",-2.411e+07, 3.96e+07,   -0.608, 0.543,-1.02e+08, 5.36e+07
Cliente_AUTOMETAL S/A,  -2.3e+07, 4.61e+07,   -0.499, 0.618,-1.13e+08, 6.74e+07
Cliente_AUTOTRAVI BORRACHAS E PLASTICOS LTDA,-5.946e+06, 4.66e+07,   -0.128, 0.898,-9.72e+07, 8.53e+07
Cliente_AVIBRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AVICOLAS,-2.087e+07, 4.69e+07,   -0.445, 0.656,-1.13e+08,  7.1e+07
Cliente_B GROB DO BRASIL S A IND COM MAQS OPERAT E FERRAMENTAS,-2.052e+07, 3.35e+07,   -0.613, 0.540,-8.62e+07, 4.51e+07
Cliente_BAG RIO ARTEFATOS DE COURO LTDA,-1.117e+07, 4.89e+07,   -0.229, 0.819,-1.07e+08, 8.46e+07
Cliente_BARCELLONA IND COM MOV LTDA,-6.456e+06, 3.48e+07,   -0.185, 0.853,-7.47e+07, 6.18e+07
"Cliente_BARRY CALLEBAUT BRASIL S,A", 3.487e+07, 3.89e+07,    0.897, 0.370,-4.14e+07, 1.11e+08
Cliente_BAUMER S A,-2.725e+07, 3.59e+07,   -0.759, 0.448,-9.76e+07, 4.31e+07
Cliente_BAXTER HOSPITALAR S/A,-5.656e+06, 4.61e+07,   -0.123, 0.902, -9.6e+07, 8.47e+07
Cliente_BDR INDUSTRIA E COMERCIO DE CALCADOS LTDA,-1.751e+06, 4.63e+07,   -0.038, 0.970,-9.25e+07,  8.9e+07
"Cliente_BECKER S,A,",-5.128e+06, 3.63e+07,   -0.141, 0.888,-7.63e+07,  6.6e+07
Cliente_BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA, 3.366e+06, 3.98e+07,    0.085, 0.933,-7.46e+07, 8.13e+07
Cliente_BELGO BEKAERT ARAMES LTDA,-3.189e+06, 3.97e+07,   -0.080, 0.936,-8.09e+07, 7.46e+07
Cliente_BEMIS DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,-7.868e+06, 3.87e+07,   -0.203, 0.839,-8.38e+07, 6.81e+07
Cliente_BENECKE IRMAOS & CIA LTDA,-1.359e+07, 3.63e+07,   -0.375, 0.708,-8.47e+07, 5.75e+07
Cliente_BENFATTO MOVEIS LTDA - ME,-1.639e+06, 3.97e+07,   -0.041, 0.967,-7.95e+07, 7.62e+07
Cliente_BENQ ELETROELETRONICA LTDA, 3.028e+07, 3.68e+07,    0.822, 0.411, -4.2e+07, 1.03e+08
Cliente_BENTELER COMPONENTES AUTOMOTIVOS LTDA,-5.786e+05, 3.44e+07,   -0.017, 0.987, -6.8e+07, 6.69e+07
Cliente_BERNARDO QUIMICA S/A,-8.086e+06, 4.61e+07,   -0.176, 0.861,-9.84e+07, 8.22e+07
"Cliente_BERNECK S,A, PAINEIS E SERRADOS",-4.365e+05, 3.38e+07,   -0.013, 0.990,-6.66e+07, 6.57e+07
"Cliente_BERTIN S,A,", 7.575e+06,  3.1e+07,    0.244, 0.807,-5.32e+07, 6.83e+07
Cliente_BERTOLINI MOVEIS DE ACO S/A,-3.032e+06,  5.3e+07,   -0.057, 0.954,-1.07e+08, 1.01e+08
Cliente_BERTOLINI S/A, 3.969e+05, 3.49e+07,    0.011, 0.991, -6.8e+07, 6.88e+07
Cliente_BETTANIN INDUSTRIAL SOCIEDADE ANONIMA, 2.726e+06, 4.66e+07,    0.059, 0.953,-8.86e+07, 9.41e+07
Cliente_BIAGIO DELL AGLI E CIA LTDA,-1.891e+07, 3.87e+07,   -0.489, 0.625,-9.47e+07, 5.69e+07
Cliente_BIC AMAZONIA S/A, 8.501e+05, 4.15e+07,    0.020, 0.984,-8.06e+07, 8.23e+07
Cliente_BICAL BIRIGUI CALCADOS INDUSTRIA E COMERCIO LTDA,-1.439e+07, 4.61e+07,   -0.312, 0.755,-1.05e+08, 7.59e+07
Cliente_BIG DUTCHMAN BRASIL LTDA, -6.53e+06, 4.66e+07,   -0.140, 0.888,-9.78e+07, 8.47e+07
Cliente_BIGNARDI INDUSTRIA COMERCIO DE PAPEIS E ARTEFATOS LTDA,-1.977e+07, 3.87e+07,   -0.510, 0.610,-9.57e+07, 5.62e+07
Cliente_BINS INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA,-5.984e+06, 3.92e+07,   -0.153, 0.879,-8.28e+07, 7.09e+07
"Cliente_BIOSEV S,A,",-2.188e+07, 4.27e+07,   -0.512, 0.608,-1.06e+08, 6.18e+07
Cliente_BIOTEK MARINE COMERCIO LTDA,-5.675e+06, 4.44e+07,   -0.128, 0.898,-9.27e+07, 8.14e+07
Cliente_BISON INDUSTRIA DE CALCADOS LTDA, 7.042e+06, 3.63e+07,    0.194, 0.846,-6.41e+07, 7.82e+07
Cliente_BITRON DO BRASIL COMPONENTES ELETROMECANICOS LTDA,-1.298e+07, 3.87e+07,   -0.335, 0.737,-8.88e+07, 6.29e+07
"Cliente_BLANVER FARMOQUIMICA E FARMACEUTICA S,A,",-1.254e+07, 3.23e+07,   -0.388, 0.698,-7.59e+07, 5.08e+07
Cliente_BMB - BELGO MINEIRA BEKAERT ARTEFATO DE ARAMES LTDA,-1.504e+07,  4.7e+07,   -0.320, 0.749,-1.07e+08, 7.71e+07
Cliente_BOBST LATINOAMERICA DO SUL LTDA,-1.357e+07, 3.35e+07,   -0.405, 0.686,-7.92e+07, 5.21e+07
Cliente_BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA L,-2.348e+07, 3.87e+07,   -0.607, 0.544,-9.93e+07, 5.23e+07
"Cliente_BOMAG MARINI EQUIPAMENTOS LTDA,", 3.805e+06, 4.63e+07,    0.082, 0.935, -8.7e+07, 9.46e+07
Cliente_BON MART FRIGORIFICO LTDA,-1.508e+07, 3.86e+07,   -0.390, 0.696,-9.08e+07, 6.07e+07
Cliente_BORGHETTI - TURBOS E SISTEMAS AUTOMOTIVOS LTDA,-1.264e+06, 4.66e+07,   -0.027, 0.978,-9.25e+07,    9e+07
Cliente_BORGWARNER BRASIL LTDA,  -1.4e+07, 3.18e+07,   -0.441, 0.659,-7.63e+07, 4.83e+07
"Cliente_BORGWARNER EMISSIONS SYSTEMS LTDA,",-6.245e+06, 4.61e+07,   -0.135, 0.892,-9.66e+07, 8.41e+07
"Cliente_BORRACHAS VIPAL S,A,", 3.218e+06,  3.3e+07,    0.098, 0.922,-6.14e+07, 6.78e+07
Cliente_BORTOLINI INDUSTRIA DE MOVEIS LTDA,-6.678e+06, 3.94e+07,   -0.170, 0.865,-8.38e+07, 7.05e+07
Cliente_BORTOLLOTI IND E COM DE MOVEIS LTDA,-7.588e+06, 4.74e+07,   -0.160, 0.873,   -1e+08, 8.53e+07
Cliente_BOSCH REXROTH LTDA,-2.178e+07, 3.59e+07,   -0.607, 0.544,-9.22e+07, 4.86e+07
Cliente_BOTANICA MADEIRAS LTDA,-9.463e+06, 4.24e+07,   -0.223, 0.824,-9.27e+07, 7.37e+07
Cliente_BOTICA COMERCIAL FARMACEUTICA LTDA,-1.111e+07, 3.77e+07,   -0.295, 0.768, -8.5e+07, 6.28e+07
Cliente_BOXFLEX COMPONENTES PARA CALCADOS LTDA,-4.208e+06, 3.29e+07,   -0.128, 0.898,-6.87e+07, 6.02e+07
"Cliente_BR MATOZINHOS FUNDICOES LTDA, EM RECUPERACAO JUDICIAL",-3.383e+05, 3.71e+07,   -0.009, 0.993,-7.31e+07, 7.24e+07
Cliente_BRACELL SP CELULOSE LTDA,-6.275e+06, 4.61e+07,   -0.136, 0.892,-9.67e+07, 8.41e+07
Cliente_BRAGRANITOS COMERCIO EXPORTACAO IMPORTACAO DE GRANITO L,-2.021e+07, 4.69e+07,   -0.431, 0.666,-1.12e+08, 7.17e+07
Cliente_BRALYX MAQUINAS INDUSTRIA E COMERCIO LTDA,-2.437e+07, 3.89e+07,   -0.626, 0.531,-1.01e+08, 5.19e+07
Cliente_BRAMETAL MG METALURGICA LTDA,-1.844e+07, 4.69e+07,   -0.393, 0.694, -1.1e+08, 7.35e+07
Cliente_BRAMEX - BRASIL MERCANTIL S/A,-2.394e+07, 4.55e+07,   -0.526, 0.599,-1.13e+08, 6.52e+07
Cliente_BRANDILI TEXTIL LTDA,-1.334e+07, 3.66e+07,   -0.364, 0.716,-8.52e+07, 5.85e+07
Cliente_BRASCAN QUIMICOS E SOLDAS LTDA,-9.565e+06, 4.11e+07,   -0.233, 0.816,   -9e+07, 7.09e+07
Cliente_BRASFIBRA FIBRA DE SISAL DO BRASIL LTDA,-2.371e+07, 4.03e+07,   -0.588, 0.557,-1.03e+08, 5.54e+07
"Cliente_BRASFUMO INDUSTRIA BRASILEIRA DE FUMOS S,A,", 4.481e+06, 4.68e+07,    0.096, 0.924,-8.72e+07, 9.62e+07
Cliente_BRASIGRAN BRASILEIRA DE GRANITOS LTDA,-5.074e+06, 5.29e+07,   -0.096, 0.924,-1.09e+08, 9.86e+07
Cliente_BRASKEM PETROQUIMICA LTDA,-1.025e+07, 3.29e+07,   -0.312, 0.755,-7.46e+07, 5.42e+07
"Cliente_BRASKEM S,A", 6.984e+06, 3.26e+07,    0.214, 0.830, -5.7e+07, 7.09e+07
Cliente_BRASLUMBER INDUSTRIA DE MOLDURAS LTDA, 1.723e+07, 3.91e+07,    0.441, 0.659,-5.94e+07, 9.38e+07
Cliente_BRASLUX INDUSTRIA DE AUTO PECAS LTDA,-2.695e+06, 3.61e+07,   -0.075, 0.940,-7.34e+07,  6.8e+07
"Cliente_BRASPINE MADEIRAS LTDA,", 3.376e+07, 3.64e+07,    0.928, 0.353,-3.75e+07, 1.05e+08
Cliente_BRASTEC TECHNOLOGIES SA,-1.811e+07, 4.61e+07,   -0.393, 0.694,-1.08e+08, 7.22e+07
Cliente_BRASTUBO CONSTRUCOES METALICAS LTDA,-1.356e+07, 3.87e+07,   -0.350, 0.726,-8.94e+07, 6.23e+07
Cliente_BRASWEY S A INDUSTRIA E COMERCIO, 3.409e+06, 4.61e+07,    0.074, 0.941, -8.7e+07, 9.38e+07
Cliente_BRAZILIAN COLOR INDUSTRIA DE TINTAS E VERNIZES LTDA,-2.653e+07, 3.87e+07,   -0.686, 0.493,-1.02e+08, 4.93e+07
Cliente_BREMIL INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA,-2.121e+06, 4.63e+07,   -0.046, 0.963,-9.29e+07, 8.87e+07
"Cliente_BRF S,A,", 3.217e+07, 3.06e+07,    1.052, 0.293,-2.78e+07, 9.21e+07
