
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.551
Model:,OLS,  Adj. R-squared (uncentered):,   0.442
Method:,Least Squares,  F-statistic:       ,   5.077
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:22:18,  Log-Likelihood:    ,-1.3237e+05
No. Observations:,  7080,  AIC:               ,2.675e+05
Df Residuals:,  5704,  BIC:               ,2.769e+05
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_AGRICOLA E PECUARIA MORRO AZUL LTDA,-2.202e+07, 4.63e+07,   -0.476, 0.634,-1.13e+08, 6.87e+07
Cliente_AGRICOLA FRAIBURGO SA,-2.711e+06, 2.99e+07,   -0.091, 0.928,-6.13e+07, 5.58e+07
Cliente_AGRICOLA JANDELLE S/A,-5.902e+06, 3.21e+07,   -0.184, 0.854,-6.88e+07,  5.7e+07
Cliente_AGRO FOOD IMPORTACAO E EXPORTACAO LTDA,-1.059e+07, 3.86e+07,   -0.275, 0.784,-8.62e+07,  6.5e+07
Cliente_AGRO INDUSTRIAL LAZZERI LTDA,  3.98e+06, 3.31e+07,    0.120, 0.904,-6.09e+07, 6.88e+07
Cliente_AGRO LATINA LTDA, 7.939e+06, 2.98e+07,    0.266, 0.790,-5.05e+07, 6.64e+07
Cliente_AGROBRAS AGRICOLA TROPICAL BRASIL,-1.443e+07, 4.99e+07,   -0.289, 0.772,-1.12e+08, 8.33e+07
"Cliente_AGROFRUTAS - PRODUCAO, EXPORTACAO E IMPORTACAO LTDA",-1.144e+07, 4.59e+07,   -0.249, 0.803,-1.01e+08, 7.85e+07
Cliente_AGRONOL AGRO INDUSTRIAL S/A,-9.215e+06, 4.51e+07,   -0.204, 0.838,-9.76e+07, 7.92e+07
Cliente_AGROPECUARIA MAGGI LTDA,-2.356e+07, 3.89e+07,   -0.606, 0.545,-9.98e+07, 5.27e+07
Cliente_AGROPECUARIA SCHIO LTDA, 2.014e+07, 3.02e+07,    0.666, 0.505,-3.91e+07, 7.94e+07
Cliente_AGROPEL AGROINDUSTRIAL PERAZZOLI LTDA, -1.42e+06, 2.88e+07,   -0.049, 0.961,-5.78e+07,  5.5e+07
Cliente_AGROSPE - AGRO INDUSTRIAL SAO PEDRO DE VACARIA LTDA, 1.989e+06, 3.37e+07,    0.059, 0.953, -6.4e+07,  6.8e+07
Cliente_AGUIA SISTEMAS DE ARMAZENAGEM LTDA,-4.248e+05, 3.11e+07,   -0.014, 0.989,-6.13e+07, 6.05e+07
Cliente_AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,-6.221e+06, 2.77e+07,   -0.224, 0.822,-6.06e+07, 4.81e+07
Cliente_AJINOMOTO INTERAMERICANA INDUSTRIA E COMERCIO LTDA,-5.518e+06, 2.73e+07,   -0.202, 0.840, -5.9e+07,  4.8e+07
Cliente_AKEO INDUSTRIAL LTDA, 5.798e+06, 4.41e+07,    0.132, 0.895,-8.06e+07, 9.22e+07
Cliente_AKER SOLUTIONS DO BRASIL LTDA, 8.396e+07, 3.05e+07,    2.753, 0.006, 2.42e+07, 1.44e+08
Cliente_ALBRECHT EQUIPAMENTOS INDUSTRIAIS LTDA,-3.542e+06,  3.1e+07,   -0.114, 0.909,-6.43e+07, 5.73e+07
Cliente_ALCOA ALUMINIO S/A, 5.549e+07, 4.49e+07,    1.237, 0.216,-3.25e+07, 1.43e+08
"Cliente_ALIBEM ALIMENTOS S,A,", 1.084e+07, 3.32e+07,    0.327, 0.744,-5.42e+07, 7.58e+07
Cliente_ALIBRA INGREDIENTES LTDA,-7.104e+06,  4.4e+07,   -0.161, 0.872,-9.35e+07, 7.92e+07
Cliente_ALISUL ALIMENTOS SA, 6.196e+06, 4.41e+07,    0.141, 0.888,-8.02e+07, 9.26e+07
Cliente_ALKA 3 INDUSTRIA DE AUTOPECAS LTDA,-6.263e+06, 3.62e+07,   -0.173, 0.863,-7.72e+07, 6.47e+07
Cliente_ALLBRANDS INDUSTRIA DE ALIMENTOS S/A,-2.092e+06, 4.57e+07,   -0.046, 0.963,-9.16e+07, 8.75e+07
Cliente_ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA,-7.428e+06, 2.86e+07,   -0.260, 0.795,-6.35e+07, 4.87e+07
Cliente_ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA, 1.378e+07, 4.41e+07,    0.313, 0.755,-7.26e+07,    1e+08
Cliente_ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,-2.025e+06, 3.53e+07,   -0.057, 0.954,-7.12e+07, 6.71e+07
"Cliente_ALPARGATAS S,A,", 3.279e+07, 2.82e+07,    1.162, 0.245,-2.25e+07, 8.81e+07
Cliente_ALPEX ALUMINIO LTDA,-7.515e+06,  4.4e+07,   -0.171, 0.865,-9.39e+07, 7.88e+07
Cliente_ALPINO INDUSTRIA METALURGICA LTDA,-7.742e+06, 3.62e+07,   -0.214, 0.831,-7.87e+07, 6.32e+07
Cliente_ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA, 3.775e+07, 3.15e+07,    1.198, 0.231, -2.4e+07, 9.95e+07
Cliente_ALSTOM HYDRO ENERGIA BRASIL LTDA, 1.956e+05, 3.31e+07,    0.006, 0.995,-6.48e+07, 6.52e+07
Cliente_ALTENBURG TEXTIL LTDA,-3.446e+06, 2.85e+07,   -0.121, 0.904,-5.94e+07, 5.25e+07
Cliente_ALUMINIUM INDUSTRIAL E COMERCIO LTDA,-7.873e+06, 3.31e+07,   -0.238, 0.812,-7.28e+07, 5.71e+07
Cliente_ALVOAR LACTEOS S/A,-1.153e+07, 3.72e+07,   -0.310, 0.756,-8.44e+07, 6.13e+07
Cliente_AMAPA DO SUL SA INDUSTRIA DA BORRACHA, 7.337e+06, 4.41e+07,    0.166, 0.868,-7.91e+07, 9.37e+07
"Cliente_AMBEV S,A,",-4.285e+06, 3.62e+07,   -0.118, 0.906,-7.52e+07, 6.66e+07
Cliente_AMENDOAS DO BRASIL LTDA, 6.125e+06, 3.49e+07,    0.176, 0.861,-6.23e+07, 7.45e+07
Cliente_AMERICA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA, 1.196e+07, 4.41e+07,    0.271, 0.786,-7.45e+07, 9.84e+07
Cliente_AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A, 9.026e+06, 2.65e+07,    0.341, 0.733,-4.29e+07, 6.09e+07
Cliente_ANDREAZZA MADEIRAS EIRELI,  -1.4e+06,  4.7e+07,   -0.030, 0.976,-9.34e+07, 9.06e+07
"Cliente_ANDRITZ HYDRO LTDA,", 1.771e+06,  4.4e+07,    0.040, 0.968,-8.46e+07, 8.81e+07
Cliente_ANGELO CAMILOTTI CIA LTDA,-1.616e+06, 3.17e+07,   -0.051, 0.959,-6.38e+07, 6.05e+07
"Cliente_ANGLO AMERICAN OF SOUTH AMERICA LTDA,", 7.434e+06, 5.44e+07,    0.137, 0.891,-9.93e+07, 1.14e+08
Cliente_ANHAMBI ALIMENTOS LTDA,-2.634e+06, 4.57e+07,   -0.058, 0.954,-9.22e+07, 8.69e+07
"Cliente_ANIGER - CALCADOS, SUPRIMENTOS E EMPREENDIMENTOS LTDA,", 8.322e+06, 3.35e+07,    0.249, 0.804,-5.73e+07,  7.4e+07
Cliente_ANTIBIOTICOS DO BRASIL LTDA, 1.972e+06, 2.98e+07,    0.066, 0.947,-5.65e+07, 6.04e+07
"Cliente_APERAM INOX AMERICA DO SUL S,A,",-4.033e+06, 2.93e+07,   -0.138, 0.890,-6.14e+07, 5.33e+07
Cliente_APOLO TUBULARS S/A, 1.185e+07,  4.4e+07,    0.269, 0.788,-7.45e+07, 9.82e+07
Cliente_APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,-3.224e+06, 3.38e+07,   -0.095, 0.924,-6.94e+07,  6.3e+07
Cliente_APUCARANA LEATHER S/A,-9.958e+05, 4.57e+07,   -0.022, 0.983,-9.05e+07, 8.86e+07
Cliente_AQUAGEL REFRIGERACAO LIMITADA,-7.508e+06,  4.4e+07,   -0.170, 0.865,-9.38e+07, 7.88e+07
Cliente_AQUATICA MARICULTURA DO BRASIL LTDA,-3.391e+06, 4.08e+07,   -0.083, 0.934,-8.33e+07, 7.65e+07
Cliente_AQUINOR AQUICULTURA DO NORDESTE LTDA, 1.205e+06, 2.29e+07,    0.053, 0.958,-4.37e+07, 4.61e+07
Cliente_ARAMOVEIS INDS REUNIDAS DE MOVEIS E ESTOFADOS LTDA,-1.857e+06, 3.82e+07,   -0.049, 0.961,-7.67e+07, 7.29e+07
Cliente_ARANTES ALIMENTOS LTDA,-6.369e+06, 2.89e+07,   -0.220, 0.826, -6.3e+07, 5.03e+07
"Cliente_ARAUCO DO BRASIL S,A,", -638.5920, 3.13e+07,-2.04e-05, 1.000,-6.15e+07, 6.15e+07
Cliente_ARAUPLAST INDUSTRIA DE PLASTICOS LTDA,-1.513e+06, 4.57e+07,   -0.033, 0.974,-9.11e+07,  8.8e+07
Cliente_ARCELOR BRASIL SA,-8.283e+06, 4.49e+07,   -0.185, 0.854,-9.62e+07, 7.97e+07
"Cliente_ARCELORMITTAL BRASIL S,A,", 2.923e+07, 3.27e+07,    0.895, 0.371,-3.48e+07, 9.32e+07
Cliente_ARCOR DO BRASIL LTDA, 2.455e+07,  4.4e+07,    0.557, 0.577,-6.18e+07, 1.11e+08
"Cliente_AREZZO INDUSTRIA E COMERCIO S,A,", 8.957e+06, 4.41e+07,    0.203, 0.839,-7.75e+07, 9.54e+07
Cliente_ARIM COMPONENTES S/A, 8.569e+06, 3.31e+07,    0.259, 0.796,-5.63e+07, 7.35e+07
Cliente_AROSUCO AROMAS E SUCOS LTDA,-1.053e+06, 4.29e+07,   -0.025, 0.980,-8.52e+07, 8.31e+07
Cliente_AROTUBI METAIS LTDA,-1.078e+06, 3.81e+07,   -0.028, 0.977,-7.58e+07, 7.37e+07
Cliente_ARTECOLA EXTRUSAO LTDA,-3.181e+06, 4.57e+07,   -0.070, 0.944,-9.27e+07, 8.64e+07
Cliente_ARTECOLA LAMINADOS ESPECIAIS LTDA,-6.453e+06,  4.4e+07,   -0.146, 0.884,-9.28e+07, 7.99e+07
"Cliente_ARTECOLA QUIMICA S,A,", 7.069e+06, 2.99e+07,    0.237, 0.813,-5.15e+07, 6.56e+07
Cliente_ASA AGRICOLA SANTO ANTONIO SA,-1.143e+07, 3.32e+07,   -0.345, 0.730,-7.65e+07, 5.36e+07
"Cliente_ASGA S,A",-8.915e+06, 3.05e+07,   -0.293, 0.770,-6.86e+07, 5.08e+07
Cliente_ASTEC DO BRASIL FABRICACAO DE EQUIPAMENTOS LTDA,-1.128e+07, 4.49e+07,   -0.251, 0.802,-9.92e+07, 7.67e+07
Cliente_ATC - ASSOCIATED TOBACCO COMPANY BRASIL EXPORTACAO E IM, 8.242e+06, 3.32e+07,    0.248, 0.804,-5.68e+07, 7.33e+07
Cliente_ATINA INDUSTRIA E COMERCIO DE ATIVOS NATURAIS LTDA,-1.454e+07, 3.79e+07,   -0.384, 0.701,-8.87e+07, 5.97e+07
Cliente_ATLANTICA EXPORTACAO E IMPORTACAO S/A,-1.495e+07, 4.49e+07,   -0.333, 0.739,-1.03e+08,  7.3e+07
Cliente_ATLAS COMPENSADOS INDUSTRIA E COMERCIO LTDA,-3.411e+06, 4.53e+07,   -0.075, 0.940,-9.23e+07, 8.54e+07
"Cliente_ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",-2.791e+06, 3.22e+07,   -0.087, 0.931,-6.59e+07, 6.03e+07
Cliente_AUDACES AUTOMACAO E INFORMATICA INDUSTRIAL LTDA,-4.209e+06,  3.2e+07,   -0.132, 0.895, -6.7e+07, 5.85e+07
"Cliente_AUNDE BRASIL S,A,",-4.453e+06,  4.4e+07,   -0.101, 0.919,-9.08e+07, 8.19e+07
"Cliente_AUTO ADESIVOS PARANA S,A", 9.283e+05, 4.57e+07,    0.020, 0.984,-8.86e+07, 9.05e+07
Cliente_AUTOBOX INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA - ME, -3.67e+06, 4.57e+07,   -0.080, 0.936,-9.34e+07,  8.6e+07
Cliente_AUTOLIV DO BRASIL LTDA, 3.719e+07,  4.4e+07,    0.844, 0.399,-4.92e+07, 1.24e+08
"Cliente_AUTOMETAL MINAS CROMACAO, PINTURA E INJECAO DE PLASTICO",-1.551e+07, 3.71e+07,   -0.418, 0.676,-8.83e+07, 5.73e+07
Cliente_AUTOMETAL S/A,-7.114e+06,  4.4e+07,   -0.162, 0.872,-9.35e+07, 7.92e+07
Cliente_AUTOTRAVI BORRACHAS E PLASTICOS LTDA, 6.579e+06, 4.41e+07,    0.149, 0.881,-7.98e+07,  9.3e+07
Cliente_AVIBRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AVICOLAS,-1.114e+07, 4.45e+07,   -0.250, 0.802,-9.83e+07, 7.61e+07
Cliente_B GROB DO BRASIL S A IND COM MAQS OPERAT E FERRAMENTAS,-2.771e+06, 3.05e+07,   -0.091, 0.928,-6.26e+07,  5.7e+07
Cliente_BAG RIO ARTEFATOS DE COURO LTDA, 4.119e+05,  4.7e+07,    0.009, 0.993,-9.18e+07, 9.26e+07
Cliente_BARCELLONA IND COM MOV LTDA, 6.537e+06, 3.16e+07,    0.207, 0.836,-5.53e+07, 6.84e+07
"Cliente_BARRY CALLEBAUT BRASIL S,A", 4.736e+07, 3.65e+07,    1.298, 0.194,-2.42e+07, 1.19e+08
Cliente_BAUMER S A,-8.076e+06, 3.31e+07,   -0.244, 0.808,-7.31e+07, 5.69e+07
Cliente_BAXTER HOSPITALAR S/A,  1.35e+06,  4.4e+07,    0.031, 0.976, -8.5e+07, 8.77e+07
Cliente_BDR INDUSTRIA E COMERCIO DE CALCADOS LTDA, 6.154e+06, 4.41e+07,    0.140, 0.889,-8.03e+07, 9.26e+07
"Cliente_BECKER S,A,", 5.861e+06, 3.32e+07,    0.177, 0.860,-5.91e+07, 7.09e+07
Cliente_BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA, 1.112e+07, 3.72e+07,    0.299, 0.765,-6.17e+07,  8.4e+07
Cliente_BELGO BEKAERT ARAMES LTDA, 6.313e+06, 3.72e+07,    0.170, 0.865,-6.66e+07, 7.92e+07
Cliente_BEMIS DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA, 8.911e+05, 3.62e+07,    0.025, 0.980,   -7e+07, 7.18e+07
Cliente_BENECKE IRMAOS & CIA LTDA,-2.938e+06, 3.36e+07,   -0.087, 0.930,-6.88e+07,  6.3e+07
Cliente_BENFATTO MOVEIS LTDA - ME, 7.846e+06, 3.71e+07,    0.212, 0.832,-6.49e+07, 8.06e+07
Cliente_BENQ ELETROELETRONICA LTDA, 3.848e+07,  3.4e+07,    1.131, 0.258,-2.82e+07, 1.05e+08
Cliente_BENTELER COMPONENTES AUTOMOTIVOS LTDA, 1.112e+07, 3.15e+07,    0.353, 0.724,-5.07e+07, 7.29e+07
Cliente_BERNARDO QUIMICA S/A,-1.278e+05,  4.4e+07,   -0.003, 0.998,-8.65e+07, 8.62e+07
"Cliente_BERNECK S,A, PAINEIS E SERRADOS", 8.354e+06, 3.08e+07,    0.271, 0.786,-5.21e+07, 6.88e+07
"Cliente_BERTIN S,A,", 1.961e+07, 2.77e+07,    0.708, 0.479,-3.47e+07, 7.39e+07
Cliente_BERTOLINI MOVEIS DE ACO S/A,     4e+05, 5.13e+07,    0.008, 0.994,   -1e+08, 1.01e+08
Cliente_BERTOLINI S/A, 1.248e+07, 3.16e+07,    0.395, 0.693,-4.94e+07, 7.44e+07
Cliente_BETTANIN INDUSTRIAL SOCIEDADE ANONIMA,  1.45e+07, 4.41e+07,    0.329, 0.742,-7.19e+07, 1.01e+08
Cliente_BIAGIO DELL AGLI E CIA LTDA, -7.55e+06, 3.62e+07,   -0.209, 0.835,-7.85e+07, 6.34e+07
Cliente_BIC AMAZONIA S/A, 9.084e+06, 3.91e+07,    0.232, 0.816,-6.75e+07, 8.57e+07
Cliente_BICAL BIRIGUI CALCADOS INDUSTRIA E COMERCIO LTDA,-6.627e+06,  4.4e+07,   -0.150, 0.880, -9.3e+07, 7.97e+07
Cliente_BIG DUTCHMAN BRASIL LTDA, 5.996e+06, 4.41e+07,    0.136, 0.892,-8.04e+07, 9.24e+07
Cliente_BIGNARDI INDUSTRIA COMERCIO DE PAPEIS E ARTEFATOS LTDA,-6.521e+06, 3.62e+07,   -0.180, 0.857,-7.75e+07, 6.44e+07
Cliente_BINS INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA, 6.072e+06, 3.62e+07,    0.168, 0.867,-6.49e+07, 7.71e+07
"Cliente_BIOSEV S,A,",-1.512e+07,  4.2e+07,   -0.360, 0.719,-9.75e+07, 6.72e+07
Cliente_BIOTEK MARINE COMERCIO LTDA, 5.208e+06, 4.25e+07,    0.123, 0.902,-7.81e+07, 8.85e+07
Cliente_BISON INDUSTRIA DE CALCADOS LTDA, 1.627e+07, 3.32e+07,    0.490, 0.624,-4.88e+07, 8.13e+07
Cliente_BITRON DO BRASIL COMPONENTES ELETROMECANICOS LTDA,-5.969e+06, 3.62e+07,   -0.165, 0.869,-7.69e+07,  6.5e+07
"Cliente_BLANVER FARMOQUIMICA E FARMACEUTICA S,A,",-6.813e+06, 2.93e+07,   -0.233, 0.816,-6.42e+07, 5.06e+07
Cliente_BMB - BELGO MINEIRA BEKAERT ARTEFATO DE ARAMES LTDA,-7.277e+06, 4.49e+07,   -0.162, 0.871,-9.52e+07, 8.07e+07
Cliente_BOBST LATINOAMERICA DO SUL LTDA,  1.68e+05, 3.05e+07,    0.006, 0.996,-5.96e+07,    6e+07
Cliente_BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA L,-5.953e+06, 3.62e+07,   -0.165, 0.869,-7.69e+07,  6.5e+07
"Cliente_BOMAG MARINI EQUIPAMENTOS LTDA,", 1.502e+07, 4.41e+07,    0.341, 0.733,-7.14e+07, 1.01e+08
Cliente_BON MART FRIGORIFICO LTDA,-7.326e+06, 3.62e+07,   -0.203, 0.840,-7.82e+07, 6.36e+07
Cliente_BORGHETTI - TURBOS E SISTEMAS AUTOMOTIVOS LTDA, 1.126e+07, 4.41e+07,    0.255, 0.798,-7.51e+07, 9.77e+07
Cliente_BORGWARNER BRASIL LTDA, 3.548e+06, 2.86e+07,    0.124, 0.901,-5.25e+07, 5.96e+07
"Cliente_BORGWARNER EMISSIONS SYSTEMS LTDA,", 1.333e+07,  4.4e+07,    0.303, 0.762, -7.3e+07, 9.97e+07
"Cliente_BORRACHAS VIPAL S,A,", 1.273e+07, 2.93e+07,    0.434, 0.665,-4.48e+07, 7.03e+07
Cliente_BORTOLINI INDUSTRIA DE MOVEIS LTDA, 6.218e+06, 3.65e+07,    0.170, 0.865,-6.54e+07, 7.78e+07
Cliente_BORTOLLOTI IND E COM DE MOVEIS LTDA, -1.47e+06, 4.57e+07,   -0.032, 0.974, -9.1e+07, 8.81e+07
Cliente_BOSCH REXROTH LTDA,-2.225e+06, 3.31e+07,   -0.067, 0.946,-6.72e+07, 6.28e+07
Cliente_BOTANICA MADEIRAS LTDA,-2.547e+05, 4.02e+07,   -0.006, 0.995,-7.91e+07, 7.86e+07
Cliente_BOTICA COMERCIAL FARMACEUTICA LTDA,-2.902e+06, 3.53e+07,   -0.082, 0.934,-7.21e+07, 6.63e+07
Cliente_BOXFLEX COMPONENTES PARA CALCADOS LTDA, 7.861e+06, 2.93e+07,    0.268, 0.789,-4.96e+07, 6.53e+07
"Cliente_BR MATOZINHOS FUNDICOES LTDA, EM RECUPERACAO JUDICIAL", 1.068e+07, 3.44e+07,    0.310, 0.756,-5.68e+07, 7.81e+07
Cliente_BRACELL SP CELULOSE LTDA,-1.643e+06,  4.4e+07,   -0.037, 0.970, -8.8e+07, 8.47e+07
Cliente_BRAGRANITOS COMERCIO EXPORTACAO IMPORTACAO DE GRANITO L,-7.075e+06, 4.49e+07,   -0.157, 0.875,-9.52e+07,  8.1e+07
Cliente_BRALYX MAQUINAS INDUSTRIA E COMERCIO LTDA,-7.159e+06, 3.65e+07,   -0.196, 0.844,-7.87e+07, 6.43e+07
Cliente_BRAMETAL MG METALURGICA LTDA,-9.822e+06, 4.49e+07,   -0.219, 0.827,-9.78e+07, 7.81e+07
Cliente_BRAMEX - BRASIL MERCANTIL S/A,-1.101e+07, 4.31e+07,   -0.256, 0.798,-9.54e+07, 7.34e+07
Cliente_BRANDILI TEXTIL LTDA,-2.386e+06, 3.36e+07,   -0.071, 0.943,-6.83e+07, 6.35e+07
Cliente_BRASCAN QUIMICOS E SOLDAS LTDA,-7.051e+05, 3.87e+07,   -0.018, 0.985,-7.66e+07, 7.52e+07
Cliente_BRASFIBRA FIBRA DE SISAL DO BRASIL LTDA,-1.045e+07, 3.82e+07,   -0.273, 0.785,-8.54e+07, 6.45e+07
"Cliente_BRASFUMO INDUSTRIA BRASILEIRA DE FUMOS S,A,", 1.413e+07, 4.41e+07,    0.321, 0.749,-7.23e+07, 1.01e+08
Cliente_BRASIGRAN BRASILEIRA DE GRANITOS LTDA,  -3.1e+06, 5.13e+07,   -0.060, 0.952,-1.04e+08, 9.74e+07
Cliente_BRASKEM PETROQUIMICA LTDA,-4.031e+06, 2.98e+07,   -0.135, 0.892,-6.25e+07, 5.44e+07
"Cliente_BRASKEM S,A", 1.799e+07, 2.96e+07,    0.608, 0.543,   -4e+07,  7.6e+07
Cliente_BRASLUMBER INDUSTRIA DE MOLDURAS LTDA, 2.896e+07, 3.62e+07,    0.799, 0.424, -4.2e+07,    1e+08
Cliente_BRASLUX INDUSTRIA DE AUTO PECAS LTDA, 8.123e+06, 3.32e+07,    0.245, 0.807,-5.69e+07, 7.32e+07
"Cliente_BRASPINE MADEIRAS LTDA,",  4.55e+07, 3.32e+07,    1.371, 0.170,-1.96e+07, 1.11e+08
Cliente_BRASTEC TECHNOLOGIES SA,-4.114e+06,  4.4e+07,   -0.093, 0.926,-9.05e+07, 8.22e+07
Cliente_BRASTUBO CONSTRUCOES METALICAS LTDA,-6.554e+06, 3.62e+07,   -0.181, 0.856,-7.75e+07, 6.44e+07
Cliente_BRASWEY S A INDUSTRIA E COMERCIO, 8.041e+06,  4.4e+07,    0.183, 0.855,-7.83e+07, 9.44e+07
Cliente_BRAZILIAN COLOR INDUSTRIA DE TINTAS E VERNIZES LTDA,-9.002e+06, 3.62e+07,   -0.249, 0.804,-7.99e+07, 6.19e+07
Cliente_BREMIL INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA, 5.784e+06, 4.41e+07,    0.131, 0.896,-8.06e+07, 9.22e+07
"Cliente_BRF S,A,", 4.372e+07, 2.72e+07,    1.609, 0.108,-9.56e+06,  9.7e+07
"Cliente_BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA,", 2.388e+07, 2.74e+07,    0.873, 0.383,-2.97e+07, 7.75e+07
Cliente_BRILAC IND COM DE CALCADOS LTDA, 5.653e+06, 4.41e+07,    0.128, 0.898,-8.08e+07, 9.21e+07
